time_limit;default;radius;in_range;random;lp_solution
22980.819873462562;63133.44596654049;63133.44596654049;71276.45412464523;71276.45412464523;134189.98860543442
23383.992151944363;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
23787.164430426164;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
24190.336708907962;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
24593.50898738976;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
24996.68126587156;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
25399.853544353362;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
25803.02582283516;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
26206.198101316957;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
26609.37037979876;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
27012.54265828056;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
27415.714936762357;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
27818.887215244155;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
28222.059493725956;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
28625.231772207757;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
29028.404050689554;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
29431.576329171352;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
29834.748607653153;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
30237.920886134954;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
30641.093164616752;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
31044.26544309855;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
31447.43772158035;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
31850.61000006215;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
32253.78227854395;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
32656.954557025747;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
33060.126835507544;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
33463.29911398935;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
33866.47139247115;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
34269.643670952944;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
34672.81594943475;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;126046.98044732968
35075.98822791655;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;123005.91875865475
35479.160506398344;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;123005.91875865475
35882.33278488014;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;123005.91875865475
36285.50506336194;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;123005.91875865475
36688.677341843744;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;123005.91875865475
37091.84962032554;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;123005.91875865475
37495.02189880734;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;123005.91875865475
37898.194177289144;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;123005.91875865475
38301.36645577094;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;123005.91875865475
38704.53873425274;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;123005.91875865475
39107.71101273454;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;123005.91875865475
39510.883291216334;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;123005.91875865475
39914.05556969814;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;123005.91875865475
40317.22784817994;63133.44596654049;63133.44596654049;63133.44596654049;63133.44596654049;123005.91875865475
